product_id,category,pack_size,current_price,recommended_price,price_change_abs,price_change_pct,current_revenue,expected_revenue,revenue_impact,current_units,expected_units,elasticity,elasticity_class,demand_cliff_price,action,risk_level
P035,Protein Shake,Single,29.47,17.6,-11.87,-40.28,40630.79,6547.2,-34083.59,1859.0,372.0,1.9865,ELASTIC,20.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P108,Meal Replacement,12-Pack,91.61,61.6,-30.01,-32.76,161412.01,127142.4,-34269.61,1930.0,2064.0,-0.2125,INELASTIC,70.0,REDUCE PRICE,LOW — safe to implement
P102,Healthy Snack,4-Pack,55.34,26.4,-28.94,-52.29,47492.71,10322.4,-37170.31,1267.0,391.0,1.3219,ELASTIC,30.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P104,Protein bar,12-Pack,81.25,44.0,-37.25,-45.85,112092.78,69916.0,-42176.78,1349.0,1589.0,-0.388,INELASTIC,50.0,REDUCE PRICE,LOW — safe to implement
P061,Supplement,4-Pack,65.64,35.2,-30.44,-46.37,70198.97,25801.6,-44397.37,1462.0,733.0,1.0755,ELASTIC,40.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P025,Meal Replacement,4-Pack,99.0,52.8,-46.2,-46.67,147006.4,99897.6,-47108.8,1830.0,1892.0,-0.0721,INELASTIC,60.0,REDUCE PRICE,LOW — safe to implement
P075,Meal Replacement,4-Pack,108.13,35.2,-72.93,-67.45,137367.85,80960.0,-56407.85,1722.0,2300.0,-0.4977,INELASTIC,40.0,REDUCE PRICE,LOW — safe to implement
P055,Unknown,12-Pack,135.67,105.6,-30.07,-22.16,171075.23,112675.2,-58400.03,1242.0,1067.0,0.6368,MODERATELY ELASTIC,120.0,REDUCE PRICE,LOW — safe to implement
P007,Supplement,12-Pack,123.88,70.4,-53.48,-43.17,140563.27,70048.0,-70515.27,1187.0,995.0,0.3743,INELASTIC,80.0,REDUCE PRICE,LOW — safe to implement
P060,Protein Shake,12-Pack,123.24,88.0,-35.24,-28.59,214468.74,142296.0,-72172.74,1625.0,1617.0,0.0173,INELASTIC,100.0,REDUCE PRICE,LOW — safe to implement
